Cleaned_Tweets,IsFake
"Headline is misleading. Starlink can obviously offer far more robust positioning than GPS, as it will have ~1000X more satellites over time. Not all will have line of sight to users, but still &gt;10X GPS &amp; far stronger signal.Just not today’s problem.",0
One of my favorite conspiracy theories is that the world is actually 80% men,0
un ass ailable logic!,0
Yes,0
"You’re right. Eventually, we all run out of time.",0
"Only Giga Berlin can make these colors, as paint shop was specially built to apply many fine layers of paint, giving it complexity not otherwise possible",0
"Varies a lot. Tesla &amp; SpaceX are in good positions, but many other companies are not. Recessions do have a silver lining in that companies that shouldn’t exist stop existing.",0
"Those who want Putin removed are laboring under the misapprehension that whoever replaces him will be more amenable to peace or western philosophy, but I think this is unlikely – the Kremlin is not the Nice Guy Olympics",0
"Russia overrunning Ukraine would destabilize the entire region, perhaps the world",1
"If Russia faced calamitous defeat in conventional warfare for something as strategically critical as Crimea, the probability of using nuclear weapons is high",0
I do. Yes.,0
"Still very unlikely, but this is the closest we’ve been since Cuba in ‘62",1
"Just guessing, but probably until spring of ‘24",0
It sure would be nice to have one year without a horrible global event,0
“Brutal for both sides” will be a common phrase in the months to come,0
No way,0
Maybe,0
Certainly warrants closer scrutiny,0
"Btw, how’s it going in Bakhmut?",0
Pretty good troll tbh,0
*humour,0
I couldn’t agree more ,1
British humor is the best,0
Compromise is overwhelmingly the most likely outcome – just a question of how much death &amp; destruction happens before then,0
That should be the nature of the debate,1
"Most probable outcome by far is a horrible war of attrition that destroys Ukraine &amp; severely damages Russia, with massive body count on both sides.And, in the end, the same outcome. So why?",1
Exactly,0
Congrats to  team on 48th launch this year! Falcon 9 now holds record for most launches of a single vehicle type in a year.,0
Same,0
Exactly,0
"SpaceX has more active satellites in orbit than rest of Earth combined, tracking to double rest of Earth soon",0
"The media reports with great fanfare my predictions that are late, but rarely those that come early",0
Accelerating sustainable energy is our primary mission,0
"Will require truly exceptional execution, but it is possible",0
"I will not let you down, no matter what it takes",0
Awesome,0
"We even did a Starlink video call on one airplane aloft to Starlink on another, far away, airplane aloft and it worked perfectly with no lag!",0
Vox Populi Vox Dei,0
"Several major architectural upgrades in 10.69.3, so it’s much more than a point release, but we’re sticking with 10.69 just cause haha",1
Sounds fair,0
Definitely giving me kid naming ideas ,0
And … sold out!,0
Internet in airplanes will feel same as if you were accessing Internet at home!,1
"28,700 bottles of exquisite Burnt Hair perfume already sold! Only 1,300 left of this unique, limited edition, collector’s item.",0
We’re working on it. Hope to release something next week.,0
"No money from DoD, but several other countries, orgs &amp; individuals are paying for ~11k/25k terminals (thanks!).SpaceX is losing ~$20M/month due to unpaid service &amp; costs related to enhanced security measures for cyberwar defense, but we’ll keep doing it (sigh).",0
Smart? Maybe. Does dumb stuff? Definitely!,0
TRUE,0
Exactly,1
"Should I make weapons? Ideally, not.",0
An easy prediction,0
Drone War I,1
(Actually) Smart Summon is almost done,0
Yes,0
I have a plan,1
Thanks Optimus :),1
"To be precise, 25,300 terminals were sent to Ukraine, but, at present, only 10,630 are paying for service",1
SpaceX has already withdrawn its request for funding,1
"Wrong analogy. America also had a humiliating withdrawal from Afghanistan. No one in America sees that country as part of America.Crimea *is* seen as a crucial part of Russia by Russia, much as Hawaii is seen as a crucial part of America.",1
Probably not,1
Practice makes perfect …,1
"Russia has been punched in the nose and forced to retreat many times by Ukraine. But what you don’t want to do is give Russia a choice of total, humiliating defeat or nukes – then the probability of them using nukes is high.",1
"Obviously many disagree with this logic, but what do they think is their probability of being wrong about WW3. If they say 0%, they are utterly dangerous fools.",1
"But, hey, look on the bright side! At least Russia doesn’t get Crimea in that scenario, so you can be comforted by that thought, while watching the mushroom clouds rise.",1
"If Russia faces destruction of their army and utter defeat by NATO, they will use nukes, then NATO will respond with nukes and civilization is over",1
"Whether one likes it or not, Crimea is absolutely seen as a core part of Russia by Russia. Crimea is also of critical national security importance to Russia, as it is their southern navy base.From their standpoint losing Crimea is like USA losing Hawaii &amp; Pearl Harbor.",1
Exactly,0
"If Russia is faced with the choice of losing Crimea or using battlefield nukes, they will choose the latter.We’ve already sanctioned/cutoff Russia in every possible way, so what more do they have left to lose? If we nuke Russia back, they will nuke us and then we have WW3.",1
Exceptionally well-said,1
"Standard (non-performance) 3 &amp; Y suspension in production now has improved comfort, without affecting handling",1
"Yeah, RV version is lower priority than standard version. You should still see high speeds during off hours. Is that happening?As we add more satellites &amp; upgrade satellite technology, speeds in high user density locations should see significant increases.",0
"Ok, we will add a donate option to Starlink",0
"That’s oddly low. Normally, much higher.",1
Are there others that want to donate Starlinks to places in need?,1
Ok,0
 that’s happened to me many times,1
A much quieter leaf blower is possible,1
"This is harder than it sounds, but ok",0
Deus X Machina,1
"We are proceeding very carefully. If there is a RUD on the pad, Starship progress will be set back by ~6 months.",1
Game over when (not if) Earth gets hit by an object of that size,1
Ramen &gt;&gt; Lambos,1
Used a lot in rocketry,1
So true,0
Every millipede has its millennia,1
We should bring back their outfits,1
Good thread,1
Fancy a game of meme tennis?,0
Buy Burnt Hair from a company that digs holes!,1
I read this as goth clowns lonely,1
Did you hear about the dyslexic KBG agent – it’s pot secret!,1
"Venn diagram intersection of those two audiences is pretty small, I guess",1
Not as popular as I’d hoped (sigh),0
Pitching my idea once again for a crossover of Das Boot &amp; Boss Baby.“Das Baby” – Hijinks on the high seas!,1
"Just a scratch, we can buff it out",1
Mostly accurate,1
The comments in this thread are a conspiracy theorist’s wet dream,0
Yup,1
7 years ago,0
Definitely one of the strangest meetings I’ve ever experienced.  was there too.,1
I’m trying my hardest to de-escalate this situation and obviously failing,0
"Damned if you do, damned if you don’t, so … guess I’m just damned",1
"Starship &amp; next-gen Starlink satellites are key, but much risk lies ahead before those are working at scale",1
The hilarious thing is you’re not wrong ,1
So it goes …,0
Fate loves irony,1
"Even so, we should still do good deeds",0
"The hell with it … even though Starlink is still losing money &amp; other companies are getting billions of taxpayer $, we’ll just keep funding Ukraine govt for free",0
"That dude is not just a “condition of anonymity” spineless coward, he’s also an ignorant fool. Starlink was directly requested by the Ukraine government, as it was the only thing that worked.",1
"It has required a lot of our resources. Going into super lockdown mode slows down new development progress, as we have to resist attacks from a sophisticated adversary actively at war.",1
"DoD provided about 3% of the Falcon 1 development cost. Appreciated, certainly, but should be seen in context.",1
Of course. And their signal jamming systems are also getting better.,0
"The amount SpaceX is requesting for a major battlefield advantage is less than the cost of one new GPS satellite. Ironically, GPS doesn’t work on battlefields, as the signal is easy to jam, but Starlink does.",0
"Would be great if someday humanity stopped pointing nukes at itself that would destroy almost all life on Earth.In any given year, there is a chance above zero that they will be launched. We are now at the highest risk in 60 years.",1
"Curses, foiled again!",0
Accurate,1
"Russia has the ability to destroy USA &amp; Europe utterly with nuclear missiles in less than 30 minutes &amp; vice versa.A surprising number of people don’t know this.Of course, it would be MAD to use them, but it is also MAD to be in this situation at all.",1
This has potential,1
"Internet fiber, phone lines, cell towers &amp; other space-based comms in war areas have been destroyed. Starlink is all that’s left. For now.",0
Thank you for clarifying this ,0
"Starlink is the primary communications system of the Ukrainian army on the war front. If anyone else wants this job, please be my guest …",1
"Big difference between peace comms vs warfront comms. Starlink is only comms system still working at warfront – others all dead. Russia is actively trying to kill Starlink. To safeguard, SpaceX has diverted massive resources towards defense.Even so, Starlink may still die.",1
Concerning,1
Are there citizens of nations who are helping Ukraine on this list?,0
"But surely no reasonable person would launch nuclear war?The problem with that logic is if we were dealing with reasonable people, we wouldn’t have war in the first place.",0
Is this list real? What’s the URL?,1
Yay!!,1
People should never fear turbulence. Commercial airliner wings can handle insane amounts of bending.,1
The right question to ask,1
We’re just following his recommendation ,1
"Falcon can probably get Starlink past breakeven, but Starship is needed to fund Mars",0
Yes,1
"In addition to terminals, we have to create, launch, maintain &amp; replenish satellites &amp; ground stations &amp; pay telcos for access to Internet via gateways. We’ve also had to defend against cyberattacks &amp; jamming, which are getting harder.Burn is approaching ~$20M/month.",1
"Also, Starlink is still losing money! It is insanely difficult for a LEO communications constellation to avoid bankruptcy – that was the fate of every company that tried this before.When asked what the goal of Starlink was at a space conference, I said “not go bankrupt”.",1
Maybe the  got their ,1
Very few in Iran so far,1
"Strange that nothing was leaked about our competitors in space launch &amp; communications, Lockheed &amp; Boeing, who get over $60B …Wouldn’t be surprised to find this particular individual working there when he retires from DoD. Corruption at its finest.",0
"SpaceX is not asking to recoup past expenses, but also cannot fund the existing system indefinitely *and* send several thousand more terminals that have data usage up to 100X greater than typical households. This is unreasonable.",0
Vital to the future of consciousness,1
srsly,1
Next week,1
Envy has driven him to madness,1
"Starlink requires nothing except ~50 Watt power source. With a small solar system plus battery or a generator, you will have connectivity anywhere.",1
TRUE,1
There are some active terminals,0
"Of course, this happens almost every day. They successfully destroyed Viasat in Ukraine several months ago.",0
"Starlink has faced relentless jamming attacks &amp; SpaceX relentless cyberwar. So far, their success has been limited.",1
Noted,1
Starlink data usage growth in Ukraine,0
"20,000!!",1
Cool,1
Maybe with .3,1
This is real,1
" “My opinion is Burnt Hair is just Elon saying, chill out, have a laugh, and share a laugh.”",0
Oh the irony ,1
"We might need a different name, as this is basically just Starlink with roaming capability, so you can take your terminal anywhere.",0
The counter-intuitive thing is that it’s actually gonna be a sick product!,1
"Please buy my perfume, so I can buy Twitter",1
And right on cue  …,1
You’re most welcome. Glad to support Ukraine.,1
Doesn’t get more lit than this!,0
BE the change you want in the world!,1
Can’t wait for media stories tomorrow about $1M of Burnt Hair sold ,1
"10,000 bottles of Burnt Hair sold!",1
Over 5000 bottles of Burnt Hair sold!,0
An omnigender product,1
"With a name like mine, getting into the fragrance business was inevitable – why did I even fight it for so long!?",0
And you can pay with Doge!,1
The finest fragrance on Earth!,1
Nobody should trust Bremmer,1
Maybe one day we can finally achieve,0
The next question one is typically asked is “Have you tried ayahuasca?”,0
Not subtle,1
"Sam, there is a such a thing as meditating too much",1
"Yes, back to regularly scheduled programming",1
"Pointless, as there is currently no overlap between Russian and Ukrainian demands – it’s not even close",1
"No, it is not. I have spoken to Putin only once and that was about 18 months ago. The subject matter was space.",1
"Talked to ye today &amp; expressed my concerns about his recent tweet, which I think he took to heart",1
It was built &amp; paid for at my request. Hunter &amp; team did great work.,0
It will,0
Strange,0
"I have no desire to become involved in wars, but it is safe to say that all bets are off if the nukes start flying",0
Strong candidate to win most counter-intuitive product of the year!,1
Important to bear in mind when reading anything,1
"Indeed, that kinetic energy scales with the square of velocity is not well-appreciated!A sealed escape pod with a heat shield would probably work.",0
So many blind spots,0
"There are ~25k terminals in Ukraine, but each terminal can be used to provide an Internet uplink to a cell phone tower, so potentially several thousand people can be served by a single terminal",1
Coming soon from The,0
"Yup, it will float",1
Too busy trying to survive at the time,1
They were invited to further their career elsewhere,1
There is a giant 30ft (literal) fork in the road outside the Autopilot office in Palo Alto,0
Mine,1
I love the inverse poetry of making metaphors literal,1
"That is quite an interesting story. We sent what appeared to be identical emails to all, but each was actually coded with either one or two spaces between sentences, forming a binary signature that identified the leaker.",1
Because it runs recursively,1
Nuclear war probability is rising rapidly,0
An eye for an eye leaves everyone blind,1
Perhaps we can talk again today?,1
"True, Starlink provided a decisive battlefield advantage",1
I’ve been up all night trying to think of any possible way to de-escalate this war,0
Feels so long ago. A pleasant memory :),0
Double-header,1
Agreed,1
Beautiful,0
"Welcome back to Twitter, my friend!",1
"Dojo uses bf16, so actual performance difference vs 64 bit is much less than it would seem, since you truncate so many useless zeroes &amp; round from there",0
Two Dragons on,1
Can’t wait to see this beast in action!,1
Even better build coming next week,0
"Quite a few. Trying to do the right thing, which is not always clear.",1
I am in regular contact with Fedorov,1
"Bad reporting by FT. This article falsely claims that Starlink terminals &amp; service were paid for, when only a small percentage have been. This operation has cost SpaceX $80M &amp; will exceed $100M by end of year.As for what’s happening on the battlefield, that’s classified.",1
Starlink will provide the vast majority of bandwidth from space,1
You’d need an electric propeller mounted on the tow hitch to go faster than a few knots. There might a creative wheel hub design that can generate meaningful thrust.,0
Norway rocks!   ,1
In case you missed Tesla AI Day 2022,1
Satellite constellation capability comes down to tonnage to orbit per year times capability per ton,1
SpaceX Dragon docking with  (extended video),0
Very intense 7 days indeed,1
"Personally, I like the latter, but to each their own",0
I think being able to dial the content you see from “warm &amp; fuzzy” all the way to “bring it on mf!” is the way to go,0
"Software engineering, server operations &amp; design will rule the roost",1
There will be very rapid product evolution,1
500 mile range &amp; super fun to drive,1
Excited to announce start of production of Tesla Semi Truck with deliveries to  on Dec 1st!,0
"Tiny helium leak (just barely triggered abort), but we take no risks with customer satellites. Standing down to investigate.",0
Agreed,1
Plot twist!,1
Elon liking his own tweets liking his own tweets …,1
Dragon is now docked to,1
Video,1
Starlink view of 2nd stage deorbit burn,1
I will try my best,1
"I’m a big fan of Ukraine, but not of WW3",0
Cute. You can get surprisingly close to a wild baby rhino &amp; Mom if you stay downwind.,0
There are no angels in war.,0
Accurate assessment,1
Correct,1
"So they’re saying that not buying Twitter is bad, but also buying Twitter is bad!?",1
We talked via videoconference last year,0
War is the ultimate Supreme Court,1
Kherson and Zaporizhzhia almost certainly do not want to join Russia – annexation of those regions was done to ensure a land bridge and water supply to Crimea,1
"Obviously, not everyone who voted for the pro-Russia party wanted to join Russia, but it would also be inaccurate to say that none did.",1
Below is the electoral map of 2012. Blue is the pro-Russia party.,1
"Assuming you believe that the will of the people matters, we should, in any given conflict region, support the will of those who live there. Most of Ukraine unequivocally wants to be part of Ukraine, but some eastern portions have Russian majorities and prefer Russia.",1
"First of all, Tesla hasn’t had that consumer tax credit for years &amp; we didn’t ask for this one – GM &amp; Ford did",0
"Another batch of Starlinks in orbit, 7 hours after the astronaut launch",1
That wouldn’t be hard to do,1
Twitter is an accelerant to fulfilling the original  vision,1
"I do not think it is simple at all, but I have yet to hear any realistic path to peace.Ukraine has achieved many brilliant tactical victories, but should be wary of overconfidence leading to strategic defeat.When Russia fully mobilizes, millions on both sides will die.",0
10.69.3 will actually be a major upgrade. We’re keeping .69 just because haha.,1
"Twitter probably accelerates X by 3 to 5 years, but I could be wrong",1
"Buying Twitter is an accelerant to creating X, the everything app",1
"Should be noted that Starlink is still far from cash flow positive. All LEO communications constellations to date have gone bankrupt, so any support is super helpful.",0
"A small number of terminals were paid for by the govt, vast majority were not. This is just another bs WaPo hit piece.",0
"I still very much support Ukraine, but am convinced that massive escalation of the war will cause great harm to Ukraine and possibly the world.",0
"We gave Starlinks to Ukraine &amp; lost $80M+ in doing so, while putting SpaceX &amp; myself at serious risk of Russian cyberattack.What have you done besides tweet?",1
"SpaceX’s out of pocket cost to enable &amp; support Starlink in Ukraine is ~$80M so far. Our support for Russia is $0. Obviously, we are pro Ukraine.Trying to retake Crimea will cause massive death, probably fail &amp; risk nuclear war. This would be terrible for Ukraine &amp; Earth.",1
"In other news, remote controlled anal beads sold out everywhere",1
"That referendum was questionable, which is why I suggested repeating it under UN (or other trusted entity) supervision",1
"Great, offer a UN supervised vote and if Russia refuses, then war it is",1
Maybe a similar approach to Kosovo,0
"No, I’m suggesting voting under UN (or pick your most trusted entity or country) supervision",1
"Russia is doing partial mobilization. They go to full war mobilization if Crimea is at risk. Death on both sides will be devastating.Russia has &gt;3 times population of Ukraine, so victory for Ukraine is unlikely in total war. If you care about the people of Ukraine, seek peace.",1
You are assuming that I wish to be popular. I don’t care.I do care that millions of people may die needlessly for an essentially identical outcome.,1
Let’s try this then: the will of the people who live in the Donbas &amp; Crimea should decide whether they’re part of Russia or Ukraine,1
Cheese is amazing,1
Indeed. Biggest bot attack I’ve ever seen.,0
The bot attack on this poll is strong!,1
"The will of the people should decide whether they are part of Russia or Ukraine, but Russia invaded areas that would unequivocally choose to be part of Ukraine",1
"Also worth noting that a possible, albeit unlikely, outcome from this conflict is nuclear war",1
This is highly likely to be the outcome in the end – just a question of how many die before then,1
"Ukraine-Russia Peace:- Redo elections of annexed regions under UN supervision. Russia leaves if that is will of the people.- Crimea formally part of Russia, as it has been since 1783 (until Khrushchev’s mistake).- Water supply to Crimea assured.- Ukraine remains neutral.",1
Yes,1
That is my assessment too,1
"Well-said! Also, we try to operate the team as non-hierarchically as possible &amp; allow movement between project areas, so you don’t get pigeon-holed.",1
I’m trying my hardest! Perhaps more people might consider loving humanity. Our collective light of consciousness is a tiny candle in a vast darkness. Please do not let it go out.,1
Optimus will be sickkk,1
"Would be cool to make a game using Tesla Sim that’s literally your city &amp; neighborhood, down to skid marks on road &amp; then inject fantasy/sci-fi elements",1
Occasionally,0
And people wonder why I sometimes think we’re in a simulation …,0
144 trillion operations per second,1
The embarrassing hose down photos were highly motivating tbh,0
Tunneled under the road from one property to another. This is to test the new machine.,0
"Unfortunately, snail is still faster, but TBC might beat snail by end of 2024",1
Prufrock II emerging from the ground,0
"But between now and then, we do actually need to work hard",1
"I don’t care about boosting the stock, but the economic implications are obvious",1
Do not let ancient grudge break to new mutiny,1
So many talented Russians in America,0
Customer experience suffers when there is an end of quarter rush. Steady as she goes is the right move.,1
War always gives ample reason for vengeance for all sides. Only by overcoming this instinct can there be peace.,1
Smoothing out crazy end of quarter delivery wave to reduce expedite costs &amp; relieve stress on Tesla team. Aiming for steadier deliveries intra-quarter.,1
"It’s funny reading simultaneous criticism that it’s already been done, but also it’s impossible ",0
??,1
Master Plan (mé·nage à) Trois is all about tonnage,1
"Thanks, we have a great team",0
Beautiful,1
Exactly,1
Recording of Tesla AI Day 2022,1
Join,0
A little,0
That and giving it a brain,1
And Wegovy,0
Yes,1
Fasting,0
"Uh oh, mine must be tiny!",1
 ,1
"Naturally, there will be a catgirl version of our Optimus robot",1
"The point of AI Day is to show the immense depth &amp; breadth of Tesla in AI, compute hardware &amp; robotics",1
Yup,1
"Should be according to greatest need, not race or anything else",1
!!,0
Webcast link,1
Tesla AI Day 2022 starts at precisely 6:15pm California time,1
"Tesla team is awesome, such an honor to work with them!",0
Now,1
That is not cgi,1
The hands of Optimus,1
I still love the 747. Epic plane.,1
Haha ,1
Such an incredible engine!,0
Yay,1
TRUE,1
"Needs be able to get from Starbase to South Padre Island, which requires crossing the channel",1
Off-label use ,1
"Cybertruck will be waterproof enough to serve briefly as a boat, so it can cross rivers, lakes &amp; even seas that aren’t too choppy",1
Submarines use electric motors under water …,0
Works on land too,0
As well as advanced chip &amp; supercomputer engineers for next-gen training &amp; inference,1
"Note, this event is meant for recruiting AI &amp; robotics engineers, so will be highly technical",1
Pretty much. AI/robotics engineers who understand what problems need to be solved will like what they see.,1
There will be lots of technical detail &amp; cool hardware demos,1
Good analysis,1
Rated for 280+ kph (174+ mph) winds,0
Starlink Maritime system enables high speed Internet connectivity even in heavy seas &amp; hurricane winds,1
Last coal shipment arrived in Hawaii at same time as Tesla Megapack batteries that will enable 24/7 sustainable energy,0
Still very tiny potatoes compared to what’s needed to make life multiplanetary,0
SpaceX now delivering about twice as much payload to orbit as rest of world combined,1
Extremely concerning,0
"How ironic, that’s what Henrik Fisker did to Tesla in 2007! Karma is a …",1
They need to add a lot of batteries to the grid to buffer energy,0
I guess this joke is a slow burn … ,0
Big improvement in high speed cross-traffic velocity NN coming next month,1
Maybe worth talking at some point,0
Make “hair on fire” not just a metaphor,0
Stand out in a crowd! Get noticed as you walk through the airport!,1
Coming soon from  the same people that sold you a Flamethrower,1
“Burnt Hair” – Scent for Men by Singed,1
I’m a little preoccupied rn,0
Batteries ftw,1
Good point,1
"My son, Saxon, was amazed that so many paper newspapers are still produced every day. He said they probably just search the Internet &amp; print it out. Yup, with rare exception, that is *actually* what they do haha.",1
"Falcon 9 fairing cam captures 2nd stage plume, booster entry burn &amp; Earth in twilight",1
"Even then, Lenin would’ve gotten nowhere without Ludendorff’s train",1
Charming …,1
Starlink now over 1M user terminals manufactured,1
Siegel is obviously correct,1
Activating Starlink …,1
Education is the path out of poverty and Internet access enables education,1
Exactly,1
Starlink connecting schools in the Amazon,1
It is,0
Why is this a PopMech story?,1
Yup (sigh),1
Fully reusable orbital rockets are the fundamental breakthrough needed for humanity to become a multiplanet species,1
"The terminology is outdated &amp; inaccurate. This is a tiny over-the-air software update. To the best of our knowledge, there have been no injuries.",1
"Your car needs a camera upgrade, which is free of charge. There are a few thousand cars in a similar situation. Replacement cameras will be available early next month.",1
While (!pheromone) {},1
Shaded patio,0
"Actually, I live in a little house on Weems St that cost ~$50k (but I’ve done a lot with the place!)",1
Aka cogency,1
Looks awesome ,0
Maybe little electric Tesla boats with a retro-futuristic Victorian design,1
"Long-term goal is a boardwalk with amenities that goes all the way to downtown Austin, so you can walk, bike or kayak",1
Area from south Giga to river really will be next-level great &amp; open to public!,1
"Ecological paradise plans from south portion of Giga Texas to river look great, however we must first get the factory financially on its feet",1
"I was instrumental in creating OpenAI, which made DALL-E",0
"Although his methods of instruction very strongly favored stick over carrot, I did learn a tremendous amount of engineering from him &amp; appreciation of art (he is an extremely talented artist)",1
"Boys High was a good school, but it was government, not private. Brooklyn would be considered a middle income, not exclusive, neighborhood in America.",1
For sure,1
"Errol ran out of money in the 90’s. My brother &amp; I financially supported him &amp; his extended family in South Africa since then on condition that he not do bad things. Unfortunately, he did do bad things :(",0
This is true,1
"With some improvements, it will achieve 300 Mps",1
"Incorrect. There was tuition for students from outside the school district, which was a small part of the student body, incl black students, but not for students in district, which I was.Also, I was there for 2.5 years, previously attending govt schools for 9 of 12 years.",0
"I went to government schools, not private, except for part of one year in third grade",1
"Probably Q2 next year, with vehicles initially transferred by boat from Port of Brownsville to the Cape",1
"That’s the plan. We’re taking a little  risk there, as engine isolation was done as retrofit, so not as good as on Booster 9.",1
"Late next month maybe, but November seems highly likely. We will have two boosters &amp; ships ready for orbital flight by then, with full stack production at roughly one every two months.",1
"Our focus is on reliability upgrades for flight on Booster 7 and completing Booster 9, which has many design changes, especially for full engine RUD isolation.",0
Exactly,0
Seems that way,1
. what’s going on?,0
Such miracles are impossible,0
That’s a real picture?,0
Absolutely,1
"Unsurprisingly, Reich is also a hypocrite",1
Reich is suicidally boring,0
You both an idiot and a liar,0
Curiouser and curiouser …,1
Same,0
Yes,0
"Happy birthday bro, love you",1
"Yes, all US &amp; Canada cars with safety scores above 80 should receive an invitation to download FSD Beta by tomorrow",0
"Note, Autopilot/AI team is also working on Optimus and (actually smart) summon/autopark, which have end of month deadlines",0
Next month,0
Yes,1
Ok,1
Starlink will ask for an exemption to Iranian sanctions in this regard,1
Looking forward to providing Starlink service to the people of Zambia!,0
Car will move on tighter gaps as we enhance NN velocity predictions for crossing traffic. 10.69.3 next month has some step-change improvements.,1
*10.69.2.2,1
"FSD Beta 10.69.2.1 looks good, extending to 160k owners in US &amp; Canada",1
Profoundly important concept,1
"Baltasar Gracián, Oráculo Manual y Arte de Prudencia",1
Great for clearing dust!,0
"Booster 7 now returns to high bay for robustness upgrades &amp; booster 8 moves to pad for testing.Next big test is probably full stack wet dress rehearsal, then 33 engine firing in a few weeks.",0
7 engine static fire,0
Chamber pressure looked good on all 7 engines,0
"Yes, seven engine static fire",1
There is too much latency in Fed decisions. Problematic in a fast-changing world.,1
Tunnels ftw,0
"Yes, the fundamental error is reasoning by analogy, rather than first principles",1
"starry, starry night paint your paletteblue and gray",1
"Starlink is now active on all continents, including Antarctica",1
Another batch with lasers reaches orbit,1
TRUE,0
"Starship will be an incredible enabler for science. Full reusability &amp; high production rate drive several orders of magnitude improvement in $/kg to orbit &amp; beyond.Next gen Starlink constellation is primary user of this rocket, so science doesn’t need to cover fixed cost.",1
"Should be Alexander, the Greatest. After all, is there a better Alexander?",1
Hyperloop could do that trip in less than half an hour,0
Looks like they’re fighting an actual fire demon!,0
to help mend the fault in our stars,1
It will be later this year when laser links activate on polar constellation,0
Starlink is meant for peaceful use only,0
Is it really true that four-year-olds are receiving hormone treatment?,0
"Technically true, but Earth’s economy is extremely far from physical limits. Energy is the foundation of the economy, but we’re using a very tiny amount of available energy, even if we only used PV.",1
Beta expanding to safety scores above 80 after 10.69.2.1 goes out,1
"10.69.2.1 coming out in a few days with additional polish, 10.69.3 comes out shortly after AI Day",1
or their short shorts,0
"Salted butter is amazing, but should be stored at room temperature",1
Drop 0.25%,1
"Exactly, this is neither subtle nor secret",1
"Layers upon layers of neural nets, ever higher",0
Subtle ,1
"Note, we are working on making the whistle sound much louder",0
But u have to pay in Doge,1
Blow the whistle!,1
TRUE,0
Could be worse,0
Fair point,1
Good thread,1
Sounds pretty bad,1
Please fix,1
My tweets are being suppressed!,1
"This says it all:“None of the members of the Stripe chat who spoke with me said that they accepted payment or agreed to speak to the firms about Zatko, and all said they wished to defend his credibility.”",1
Anyone know who the secret clients are? Let’s out them on Twitter rn haha.,1
Absolutely,0
TRUE,0
I’m testing it today in Palo Alto,1
Rome show is underappreciated,1
"This was harder than reaching volume production, which was insanely hard",0
There is appetite for an infinite number of interesting tweets,1
Take a moment to …,1
The residual value of gasoline cars bought today will be much lower than people think,1
Supercharger centers with solar &amp; batteries are the long-term vision,0
Won’t be long before we view gasoline cars the same way we view steam engines today,1
Socrates can be a little boring tbh,1
Yes,0
"Our view of reality is always wrong, just a question of how wrong",1
